key,value,status,기획_1차분류,분류_이유,답,근거,globals_note
item_id_rule,snake_case,수정예정,불필요?,명명 규칙·인원·표 참조 — 코드가 읽을 이유 없음,불필요,명명 규칙·코드 미읽음,아이템 id 명명(v24) — 일반 명사는 의미 영어(iron_ore·stone·lantern) 한국 고유 문화어는 로마자 음차(hapjukseon·haetae_statue·yeouiju). 전부 snake_case
muldanji_mat,점토2+돌2,수정예정,불필요?,crafting-tree.csv 물단지 재료와 같은 값,불필요,crafting-tree 요약·코드 미읽음,물단지 재료(v20 balance 확정) — 전부 상층 T1·맨발톱·채굴 4.4초. 구 '얼음 조각1+흙2'는 항아리와 게이트가 같아 캡슐이 사장됐다. 점토2+흙2는 점토 미장과 레시피 충돌이라 돌2
smelt_icesteel_ratio,2:1,수정예정,불필요?,smelting.csv smelt_icesteel과 같은 값,불필요,smelting.csv 요약·코드 미읽음,얼음강철 원석 2+석탄 2=주괴 1(용광로 45초 배치 4)
smelt_iron_ratio,2:1,수정예정,불필요?,smelting.csv smelt_iron과 같은 값,불필요,smelting.csv 요약·코드 미읽음,철·구리 광석 2+석탄 1=주괴 1(화로 20초 배치 6)
team_art,2,수정예정,불필요?,명명 규칙·인원·표 참조 — 코드가 읽을 이유 없음,불필요,인원 표·코드 미읽음,아트 2명(오너확정)
team_design,1,수정예정,불필요?,명명 규칙·인원·표 참조 — 코드가 읽을 이유 없음,불필요,인원 표·코드 미읽음,기획 1명=오너(확정)
team_dev,2,수정예정,불필요?,명명 규칙·인원·표 참조 — 코드가 읽을 이유 없음,불필요,인원 표·코드 미읽음,개발 2명 — A(월드 상태)·B(표시·사운드+애매한 것). v71에 C 합류로 3명이었다가 v82(2026-09-10 오너 확정)에 C가 B로 통합돼 다시 2명. 이관된 미완 과제 0
tile_px,16,수정예정,불필요?,명명 규칙·인원·표 참조 — 코드가 읽을 이유 없음,불필요,아트 정합·코드 미읽음,타일 16x16(아트 정합)
yokai_body_size_table,yokai-stats.csv:body_tiles,추가예정,불필요?,명명 규칙·인원·표 참조 — 코드가 읽을 이유 없음,불필요,표 참조·코드 미읽음,요괴 몸집 = 통과에 필요한 개구부 세로 칸수. HP 구간에서 유도(<500=1 / <2000=2 / 그이상=3) — 발명 0
zone_table,zones.csv,추가예정,불필요?,명명 규칙·인원·표 참조 — 코드가 읽을 이유 없음,불필요,zones.csv 참조·코드 미읽음,가로축 밴드·제단 배치 정본 표 (v55 신설)
altar_summon_daytime,night_only,추가예정,⛔ 착수 금지,[가안 — 판단⑤] 오너 결정 전,하드코딩,MainGameBossSummonUiController 밤에만 · 키 미읽음(가안),"[가안 — 판단⑤] **낮 소환 불가 유지.** GDD 5장 9번(소환템은 밤에만 활성)을 안 고친다. 낮에는 제단까지 **가는 것**이 콘텐츠고, 싸우는 것은 밤이다 — 제단이 전진 야영지가 된다. 정본 수정 0"
altar_surface,position_only,추가예정,⛔ 착수 금지,[가안 — 판단⑤] 오너 결정 전,없음,키 미읽음 · FindGlobal 없음,"[가안 — 판단⑤] **위치만 가로축.** 보스 등장 일차는 그대로 두고, 그 보스가 '자기 밴드의 지상 제단'에서 나온다. → 6-8 눈물 원장·31~100일 밤 조합표 **불변**(내습 4종의 고정 일차가 유지되"
